guide	gene	plasmid	PolM_KO	PolM_KO_hPOLM	PolM_WT	PolQ_WT	PolQ_KO_hPOLQ	PolQ_KO
mDDR_2490	Smc1a	1936	518	23	681	819	338	738
mDDR_2491	Smc1a	1984	240	5	219	523	158	216
mDDR_2492	Smc1a	2226	1	4	358	523	75	289
mDDR_2493	Smc1a	758	373	18	568	619	216	416
mDDR_2494	Smc1a	1841	125	5	392	782	228	300
mDDR_2495	Smc1a	1694	234	21	585	1042	304	437
mDDR_2496	Smc1a	2938	1439	39	2031	2291	742	1310
mDDR_2497	Smc1a	2139	1466	67	1741	2123	521	1251
mDDR_2498	Smc1a	1103	997	21	1284	1143	460	891
mDDR_2499	Smc5	1508	234	9	522	617	265	472
mDDR_2500	Smc5	2681	939	50	1089	1433	677	1021
mDDR_2501	Smc5	2587	170	3	339	380	193	346
mDDR_2502	Smc5	2922	2105	47	2650	2731	956	1540
mDDR_2503	Smc5	2856	2150	39	2877	2557	1202	1549
mDDR_2504	Smc5	1214	631	18	719	789	275	836
mDDR_2505	Smc5	4572	1757	57	3890	2536	1049	1891
mDDR_2506	Smc5	1398	473	5	359	488	145	345
mDDR_2507	Smc5	1683	246	13	1603	982	392	643
mDDR_2508	Smc5	1768	539	27	1277	1260	512	1055
mDDR_2509	Smc6	2535	976	43	2170	1680	534	1413
mDDR_2510	Smc6	3496	922	31	1484	1111	791	962
mDDR_2511	Smc6	2417	535	28	853	987	329	854
mDDR_2512	Smc6	2259	157	18	349	577	182	575
mDDR_2513	Smc6	1524	861	34	2452	1435	516	1499
mDDR_2514	Smc6	990	454	2	525	335	202	357
mDDR_2515	Smc6	3705	868	19	1691	1510	380	830
mDDR_2516	Smc6	1652	879	18	1106	1017	447	964
mDDR_2517	Smc6	673	109	18	569	321	200	479
mDDR_2518	Smc6	1218	644	16	959	813	303	549
mDDR_2519	Smg1	478	392	12	412	702	171	468
mDDR_2520	Smg1	1959	908	21	1582	1583	618	1418
mDDR_2521	Smg1	833	342	10	543	644	245	393
mDDR_2522	Smg1	1601	410	18	733	1131	375	960
mDDR_2523	Smg1	2197	939	20	830	1722	536	1127
mDDR_2524	Smg1	2319	834	30	1558	1247	579	1135
mDDR_2525	Smg1	2095	814	20	739	617	349	572
mDDR_2526	Smg1	1566	848	6	1131	1082	337	455
mDDR_2527	Smg1	3170	675	26	910	1399	340	568
mDDR_2528	Smg1	1464	380	16	519	893	272	579
mDDR_2529	Smug1	1744	690	32	1274	1302	624	597
mDDR_2530	Smug1	2289	1510	29	1964	2159	768	1236
mDDR_2531	Smug1	1742	704	20	1331	1050	555	593
mDDR_2532	Smug1	2305	1058	30	1579	1412	651	1202
mDDR_2533	Smug1	1936	1077	21	2294	1663	733	1007
mDDR_2534	Smug1	1112	520	12	1245	633	236	663
mDDR_2535	Smug1	1376	1024	25	1474	1328	659	1416
mDDR_2536	Smug1	1508	874	27	1247	1282	550	720
mDDR_2537	Smug1	2246	654	22	956	973	316	553
mDDR_2538	Smug1	2669	1888	73	2324	2347	785	2009
mDDR_2539	Snw1	1592	266	8	488	483	274	455
mDDR_2540	Snw1	1493	150	8	728	561	151	259
mDDR_2541	Snw1	1303	149	4	192	353	119	322
mDDR_2542	Snw1	2756	275	13	654	616	165	572
mDDR_2543	Snw1	1838	702	20	1324	1221	508	991
mDDR_2544	Snw1	1942	480	20	1078	987	403	703
mDDR_2545	Snw1	1557	243	12	676	506	141	287
mDDR_2546	Snw1	1720	63	2	172	180	55	51
mDDR_2547	Snw1	2293	686	28	764	1051	418	795
mDDR_2548	Snw1	1956	658	24	1129	970	432	384
mDDR_2549	Spo11	852	376	9	785	377	182	382
mDDR_2550	Spo11	1728	1080	34	2002	1507	450	1058
mDDR_2551	Spo11	1117	493	9	908	629	369	416
mDDR_2552	Spo11	1510	770	41	1300	1308	491	625
mDDR_2553	Spo11	657	781	21	886	655	264	687
mDDR_2554	Spo11	2473	981	24	1207	939	341	516
mDDR_2555	Spo11	1860	1064	40	1908	1118	532	828
mDDR_2556	Spo11	1533	938	25	1405	771	412	644
mDDR_2557	Spo11	1715	1027	38	1341	1624	459	863
mDDR_2558	Spo11	2394	1159	30	1559	1397	547	954
mDDR_2559	Sprtn	520	260	11	978	548	186	691
mDDR_2560	Sprtn	2494	1214	28	2235	1976	566	1872
mDDR_2561	Sprtn	1962	1002	27	2277	1643	491	951
mDDR_2562	Sprtn	2246	402	18	750	683	225	514
mDDR_2563	Sprtn	433	164	5	164	275	71	160
mDDR_2564	Sprtn	2979	1250	48	1524	1783	796	1210
mDDR_2565	Sprtn	1715	740	19	1430	1121	529	1226
mDDR_2566	Sprtn	2159	1338	30	1279	1920	472	981
mDDR_2567	Sprtn	3210	1886	58	2929	2174	1117	1152
mDDR_2568	Sprtn	1921	828	17	2004	2037	517	856
mDDR_2569	Stag1	299	100	4	185	203	102	242
mDDR_2570	Stag1	951	131	4	86	247	66	232
mDDR_2571	Stag1	1553	465	30	1283	803	227	572
mDDR_2572	Stag1	1835	715	40	2184	1591	539	1368
mDDR_2573	Stag1	2603	1805	66	3704	2169	739	1722
mDDR_2574	Stag1	2152	974	23	1555	1010	379	855
mDDR_2575	Stag1	1210	363	23	611	637	263	445
mDDR_2576	Stag1	758	463	24	600	593	137	338
mDDR_2577	Stag1	1153	343	12	638	508	201	430
mDDR_2578	Stag1	2564	1311	46	2906	1809	619	1747
mDDR_2579	Sumo1	2575	958	26	2259	1645	711	901
mDDR_2580	Sumo1	1706	657	11	887	1041	250	347
mDDR_2581	Sumo1	2343	1060	44	2717	1506	410	1361
mDDR_2582	Sumo1	3488	2184	45	2812	2564	1017	1777
mDDR_2583	Sumo1	1744	488	24	1907	1027	390	955
mDDR_2584	Sumo1	1698	195	16	351	481	121	317
#mDDR_2585	Sumo1	2575	958	26	2259	1645	711	901
#mDDR_2586	Sumo1	1706	657	11	887	1041	250	347
mDDR_2587	Sumo1	472	228	1	165	232	139	56
mDDR_2588	Sumo1	1223	459	32	991	1510	300	433
mDDR_2589	Sumo2	1646	580	14	1193	1313	545	842
mDDR_2590	Sumo2	463	2	4	29	141	68	13
mDDR_2591	Sumo2	2216	69	20	786	882	165	334
mDDR_2592	Sumo2	1234	246	11	378	391	169	68
mDDR_2593	Sumo2	3356	1284	50	1583	1572	651	610
mDDR_2594	Sumo2	1980	487	18	171	509	177	119
mDDR_2595	Sumo2	1217	506	7	562	392	263	298
mDDR_2596	Sumo2	2146	293	4	531	665	278	271
mDDR_2597	Sumo2	1484	661	32	2126	1111	676	1075
mDDR_2598	Sumo2	2453	1360	25	1861	2432	658	1347
mDDR_2599	Suv39h1	2553	1276	34	2195	2304	536	1248
mDDR_2600	Suv39h1	1946	766	23	1167	951	326	650
mDDR_2601	Suv39h1	1702	719	23	1034	1220	523	741
mDDR_2602	Suv39h1	832	549	16	704	675	282	360
mDDR_2603	Suv39h1	1118	567	15	940	834	315	286
mDDR_2604	Suv39h1	1754	832	27	1459	1337	540	660
mDDR_2605	Suv39h1	633	322	2	533	276	187	309
mDDR_2606	Suv39h1	1731	1133	15	1726	1271	415	650
mDDR_2607	Suv39h1	1600	506	28	1559	913	371	617
mDDR_2608	Suv39h1	2861	1548	59	2235	2321	718	1390
mDDR_2609	Suv39h2	1236	925	32	1009	783	340	568
mDDR_2610	Suv39h2	896	572	7	486	645	169	322
mDDR_2611	Suv39h2	1906	1042	30	1122	1404	617	723
mDDR_2612	Suv39h2	450	321	20	814	487	186	427
mDDR_2613	Suv39h2	692	465	13	1192	977	346	629
mDDR_2614	Suv39h2	791	519	8	976	1145	280	618
mDDR_2615	Suv39h2	3249	980	49	1858	2150	801	956
mDDR_2616	Suv39h2	1578	804	13	2218	1229	408	836
mDDR_2617	Suv39h2	2097	1113	36	1840	1686	1018	1694
mDDR_2618	Suv39h2	1628	1533	29	1631	1461	576	949
mDDR_2619	Suv420h2	4148	2595	66	3290	2714	1276	2511
mDDR_2620	Suv420h2	1364	588	15	1526	1544	317	485
mDDR_2621	Suv420h2	695	332	4	923	548	188	332
mDDR_2622	Suv420h2	2791	1157	21	2350	1600	683	1019
mDDR_2623	Suv420h2	2021	2055	43	2004	2447	698	1956
mDDR_2624	Suv420h2	1783	1179	36	1882	1024	613	789
mDDR_2625	Suv420h2	680	215	17	799	864	283	660
mDDR_2626	Suv420h2	1009	445	11	1162	851	305	452
mDDR_2627	Suv420h2	1592	910	25	1463	1614	572	767
mDDR_2628	Suv420h2	2946	2007	44	2970	2560	877	1912
mDDR_2629	Swi5	1247	614	13	836	849	200	439
mDDR_2630	Swi5	1642	351	16	1559	753	384	624
mDDR_2631	Swi5	1693	642	25	1390	1420	446	476
mDDR_2632	Swi5	421	143	7	175	361	85	210
mDDR_2633	Swi5	1137	659	10	1126	996	230	532
mDDR_2634	Swi5	1218	448	23	903	784	380	630
mDDR_2635	Swi5	817	669	8	952	553	220	516
mDDR_2636	Swi5	3431	1907	64	2679	2329	643	1234
mDDR_2637	Swi5	1968	815	24	1870	1240	658	828
mDDR_2638	Swi5	368	198	8	490	312	119	347
mDDR_2639	Tcof1	1034	300	13	881	349	237	533
mDDR_2640	Tcof1	742	297	18	598	652	148	485
mDDR_2641	Tcof1	2122	1406	39	3287	1960	744	1662
mDDR_2642	Tcof1	1491	841	20	1391	1010	545	507
mDDR_2643	Tcof1	1558	1277	32	2178	1407	504	901
mDDR_2644	Tcof1	1022	281	11	715	499	268	306
mDDR_2645	Tcof1	1778	934	34	1593	1114	443	942
mDDR_2646	Tcof1	2288	1493	32	1490	1812	557	1107
mDDR_2647	Tcof1	1527	968	26	1630	1317	391	912
mDDR_2648	Tcof1	1285	571	12	1194	1155	388	939
mDDR_2649	Tcof1	2031	1335	28	1279	1768	421	1055
mDDR_2650	Tdg	2134	774	18	1398	806	315	801
mDDR_2651	Tdg	1811	1589	18	2104	1696	455	1086
mDDR_2652	Tdg	1491	676	21	1387	1162	343	990
mDDR_2653	Tdg	971	324	10	109	651	286	199
mDDR_2654	Tdg	2950	820	36	2083	2426	739	1020
mDDR_2655	Tdg	1172	437	27	1219	1044	332	515
mDDR_2656	Tdg	3050	1685	39	2531	1597	814	888
mDDR_2657	Tdg	600	274	4	318	381	161	515
mDDR_2658	Tdg	844	288	12	434	479	204	265
mDDR_2659	Tdg	1635	578	21	769	997	384	278
mDDR_2660	Tdp1	2091	898	28	2031	1117	541	819
mDDR_2661	Tdp1	3211	1173	45	2743	2070	572	1113
mDDR_2662	Tdp1	1727	1141	20	2611	2209	626	1639
mDDR_2663	Tdp1	1704	710	23	1947	977	629	1101
mDDR_2664	Tdp1	2053	1023	22	2607	1711	595	1232
mDDR_2665	Tdp1	928	390	16	714	569	255	356
mDDR_2666	Tdp1	1459	473	10	800	790	347	726
mDDR_2667	Tdp1	2346	976	37	985	1581	540	821
mDDR_2668	Tdp1	940	652	16	1338	813	265	533
mDDR_2669	Tdp1	2683	2015	42	2726	1917	702	1827
mDDR_2670	Tdp2	838	497	19	751	499	381	504
mDDR_2671	Tdp2	299	88	0	224	213	98	174
mDDR_2672	Tdp2	562	261	10	715	418	164	453
mDDR_2673	Tdp2	2194	1092	54	1737	1829	498	726
mDDR_2674	Tdp2	2702	1900	37	3555	1686	814	1264
mDDR_2675	Tdp2	2049	1473	27	2161	1858	587	1006
mDDR_2676	Tdp2	1253	622	22	733	1095	302	717
mDDR_2677	Tdp2	2124	966	16	727	771	213	547
mDDR_2678	Tdp2	2578	1816	34	1839	1468	395	1045
mDDR_2679	Tdp2	1905	598	15	1091	972	334	601
mDDR_2680	Tdrd1	1484	704	26	947	1602	518	810
mDDR_2681	Tdrd1	1097	305	23	1381	923	238	600
mDDR_2682	Tdrd1	1797	1427	41	1757	1176	447	840
mDDR_2683	Tdrd1	2287	1153	46	2473	1837	805	1610
mDDR_2684	Tdrd1	2548	1679	51	3006	2141	731	1990
mDDR_2685	Tdrd1	792	360	17	535	611	190	289
mDDR_2686	Tdrd1	2869	1478	26	4846	2221	1122	2370
mDDR_2687	Tdrd1	1502	895	16	2621	1170	401	576
mDDR_2688	Tdrd1	2331	1073	37	2145	2126	834	1181
mDDR_2689	Tdrd1	1362	649	18	1079	1372	467	1115
mDDR_2690	Telo2	1933	323	4	670	628	218	489
mDDR_2691	Telo2	1562	228	9	759	812	275	422
mDDR_2692	Telo2	2138	401	29	1023	1184	418	575
mDDR_2693	Telo2	1106	134	2	192	388	84	124
mDDR_2694	Telo2	2086	751	22	985	1022	442	678
mDDR_2695	Telo2	2053	121	18	168	461	246	257
mDDR_2696	Telo2	1627	433	21	808	950	458	765
mDDR_2697	Telo2	2036	787	20	1149	892	337	804
mDDR_2698	Telo2	2062	69	13	347	598	157	148
mDDR_2699	Telo2	2899	736	28	656	805	379	559
mDDR_2700	Terf1	2632	1454	34	2041	2913	693	1264
mDDR_2701	Terf1	1334	637	19	1330	936	319	776
mDDR_2702	Terf1	2009	601	14	314	1233	207	261
mDDR_2703	Terf1	1403	161	5	178	525	149	255
mDDR_2704	Terf1	2165	436	15	317	917	287	422
mDDR_2705	Terf1	2004	1060	47	1055	1178	515	692
mDDR_2706	Terf1	992	176	1	358	746	128	264
mDDR_2707	Terf1	852	63	2	212	419	37	172
mDDR_2708	Terf1	820	419	11	163	705	45	362
mDDR_2709	Terf1	1273	343	4	499	909	226	352
mDDR_2710	Terf2	1054	351	2	458	562	221	317
mDDR_2711	Terf2	3095	1292	41	1780	2017	680	1343
mDDR_2712	Terf2	1257	533	19	1297	809	334	596
mDDR_2713	Terf2	1246	382	10	927	586	263	297
mDDR_2714	Terf2	1863	991	24	1355	1668	527	927
mDDR_2715	Terf2	895	9	3	65	129	53	116
mDDR_2716	Terf2	1769	1157	36	1595	1629	500	1299
mDDR_2717	Terf2	143	85	3	228	175	43	89
mDDR_2718	Terf2	1599	165	12	371	866	246	545
mDDR_2719	Terf2	2441	1015	40	1121	851	331	977
mDDR_2720	Tert	1297	459	17	1468	1029	464	780
mDDR_2721	Tert	1193	322	19	1308	1077	243	1009
mDDR_2722	Tert	1215	896	27	974	733	293	716
mDDR_2723	Tert	2027	1065	31	1339	1388	499	844
mDDR_2724	Tert	1218	859	17	1159	1049	375	659
mDDR_2725	Tert	1413	863	30	1460	1113	446	884
mDDR_2726	Tert	1318	460	20	829	1330	361	654
mDDR_2727	Tert	2744	545	23	931	455	199	355
mDDR_2728	Tert	3748	1406	65	2351	2257	926	1318
mDDR_2729	Tert	2576	1594	44	3609	2406	770	1804
mDDR_2730	Thoc1	465	62	7	416	108	60	21
mDDR_2731	Thoc1	1106	249	12	558	438	157	93
mDDR_2732	Thoc1	1006	6	1	33	122	72	69
mDDR_2733	Thoc1	2677	1203	30	1245	1447	529	1377
mDDR_2734	Thoc1	1623	155	2	1199	208	95	214
mDDR_2735	Thoc1	658	35	1	65	1200	291	395
mDDR_2736	Thoc1	1984	95	3	316	560	147	411
mDDR_2737	Thoc1	1192	414	12	1570	471	155	497
mDDR_2738	Thoc1	1078	699	15	575	923	326	506
mDDR_2739	Thoc1	1258	236	5	92	353	135	286
mDDR_2740	Ticrr	761	190	9	723	597	135	203
mDDR_2741	Ticrr	988	19	1	18	196	36	143
mDDR_2742	Ticrr	1643	568	27	1408	1668	572	840
mDDR_2743	Ticrr	2507	395	10	870	944	269	348
mDDR_2744	Ticrr	1257	256	6	295	243	69	267
mDDR_2745	Ticrr	1822	287	10	641	1065	362	501
mDDR_2746	Ticrr	501	285	9	970	652	202	285
mDDR_2747	Ticrr	2298	900	50	1674	1641	614	1414
mDDR_2748	Ticrr	1985	918	23	575	1158	315	586
mDDR_2749	Ticrr	2093	1144	25	1585	1385	482	834
mDDR_2750	Tinf2	1020	1	5	42	228	38	141
mDDR_2751	Tinf2	2709	104	19	283	752	161	458
mDDR_2752	Tinf2	707	145	2	49	283	85	93
mDDR_2753	Tinf2	848	187	9	698	217	118	440
mDDR_2754	Tinf2	1000	84	3	91	161	98	102
mDDR_2755	Tinf2	833	19	7	170	266	102	117
mDDR_2756	Tinf2	2792	1348	61	3858	3415	1044	3205
mDDR_2757	Tinf2	2227	1473	40	1551	2072	870	1516
mDDR_2758	Tinf2	2023	1078	44	2855	1846	702	1011
mDDR_2759	Tinf2	1675	815	25	1969	1098	356	988
mDDR_2760	Tlk1	1691	912	16	1284	1224	467	782
mDDR_2761	Tlk1	2006	876	31	2183	2170	589	826
mDDR_2762	Tlk1	294	227	11	591	286	178	223
mDDR_2763	Tlk1	508	155	4	532	532	165	283
mDDR_2764	Tlk1	1577	1007	37	2217	1572	640	1039
mDDR_2765	Tlk1	2517	1992	44	3038	1958	790	2158
mDDR_2766	Tlk1	918	459	10	276	536	277	441
mDDR_2767	Tlk1	1721	823	26	1490	1369	679	1016
mDDR_2768	Tlk1	1884	1283	40	1305	1451	527	1004
mDDR_2769	Tlk1	743	326	17	658	471	212	354
mDDR_2770	Tlk1	1899	1430	34	1268	1772	546	1310
mDDR_2771	Tnks	633	314	18	640	721	223	551
mDDR_2772	Tnks	994	422	20	1228	949	195	678
mDDR_2773	Tnks	1711	1075	26	1645	1401	690	713
mDDR_2774	Tnks	843	371	15	696	740	278	442
mDDR_2775	Tnks	1230	649	26	1954	987	363	891
mDDR_2776	Tnks	2009	1262	35	2125	1360	643	927
mDDR_2777	Tnks	3366	2100	61	3198	3028	881	2156
mDDR_2778	Tnks	1936	1116	27	1803	960	828	565
mDDR_2779	Tnks	1538	1192	20	1796	1091	519	768
mDDR_2780	Tnks	1918	1128	41	3349	1481	681	1405
mDDR_2781	Tnks2	1461	720	26	950	1698	373	609
mDDR_2782	Tnks2	574	535	7	494	552	230	579
mDDR_2783	Tnks2	2829	1936	46	2357	2285	994	1755
mDDR_2784	Tnks2	1104	183	33	952	731	392	628
mDDR_2785	Tnks2	664	31	5	337	551	145	128
mDDR_2786	Tnks2	2189	1407	45	1511	1565	589	1344
mDDR_2787	Tnks2	3063	1713	55	2220	1906	636	1495
mDDR_2788	Tnks2	3373	2004	34	2715	2120	887	1261
mDDR_2789	Tnks2	2039	876	33	1568	1481	657	1197
mDDR_2790	Tnks2	1918	877	30	1613	1200	662	800
mDDR_2791	Top1	1341	481	21	344	689	240	299
mDDR_2792	Top1	2083	422	18	369	752	70	412
mDDR_2793	Top1	1172	393	10	944	1093	341	429
mDDR_2794	Top1	1057	149	9	154	1122	178	350
mDDR_2795	Top1	1623	329	13	478	1379	408	501
mDDR_2796	Top1	1413	123	9	344	556	361	504
mDDR_2797	Top1	1344	304	15	196	524	298	540
mDDR_2798	Top1	2334	206	14	135	596	309	408
mDDR_2799	Top1	911	77	6	360	380	231	297
mDDR_2800	Top1	2329	172	15	186	947	126	404
mDDR_2801	Top2a	1733	1	2	193	370	187	234
mDDR_2802	Top2a	3396	237	17	755	931	356	340
mDDR_2803	Top2a	4514	2058	57	2919	3834	1157	2771
mDDR_2804	Top2a	1719	2	3	111	212	86	122
mDDR_2805	Top2a	843	9	4	161	477	124	248
mDDR_2806	Top2a	844	22	1	55	91	49	45
mDDR_2807	Top2a	2068	503	20	1314	1293	448	785
mDDR_2808	Top2a	1069	380	5	202	410	193	268
mDDR_2809	Top2a	1206	506	12	272	464	139	415
mDDR_2810	Top2a	1123	701	25	1393	974	489	1075
mDDR_2811	Top2b	1093	517	16	1634	1151	264	857
mDDR_2812	Top2b	734	357	11	598	883	301	610
mDDR_2813	Top2b	1897	543	36	2121	903	392	922
mDDR_2814	Top2b	1553	855	19	579	937	276	798
mDDR_2815	Top2b	1741	725	12	970	928	270	848
mDDR_2816	Top2b	1538	1236	23	1628	819	353	858
mDDR_2817	Top2b	3822	2168	58	4122	3593	1346	2588
mDDR_2818	Top2b	1483	705	13	1212	758	267	513
mDDR_2819	Top2b	3754	2013	70	3793	2422	1155	1721
mDDR_2820	Top2b	1966	1086	39	1683	1379	593	862
mDDR_2821	Top3a	2930	1655	50	1401	2157	571	977
mDDR_2822	Top3a	917	43	3	136	308	172	115
mDDR_2823	Top3a	2992	38	15	386	523	232	461
mDDR_2824	Top3a	757	212	9	548	465	165	296
mDDR_2825	Top3a	851	93	1	34	258	74	44
mDDR_2826	Top3a	1033	53	13	292	419	135	229
mDDR_2827	Top3a	1680	630	22	1153	1105	437	802
mDDR_2828	Top3a	3437	2112	51	2777	2577	866	1184
mDDR_2829	Top3a	1985	1408	34	1743	1089	545	723
mDDR_2830	Top3a	952	318	9	287	333	217	264
mDDR_2831	Top3b	1452	1157	16	2330	1228	459	769
mDDR_2832	Top3b	4653	1819	53	3445	3206	857	1455
mDDR_2833	Top3b	1776	1303	22	1292	1923	596	756
mDDR_2834	Top3b	234	71	6	732	133	1	91
mDDR_2835	Top3b	3021	1854	63	2592	2574	775	1747
mDDR_2836	Top3b	412	297	11	424	224	184	176
mDDR_2837	Top3b	2646	1868	59	2114	1941	771	1114
mDDR_2838	Top3b	2275	1680	48	2505	2116	740	980
mDDR_2839	Top3b	2258	1316	33	2556	1882	767	1253
mDDR_2840	Top3b	2191	675	23	1975	1344	401	1066
mDDR_2841	Trex1	1848	1461	22	1941	1555	441	951
mDDR_2842	Trex1	1238	1043	15	1112	965	290	425
mDDR_2843	Trex1	2209	1493	38	2987	1773	814	1495
mDDR_2844	Trex1	1312	564	19	1453	685	441	803
mDDR_2845	Trex1	2805	1331	38	1575	1062	410	929
mDDR_2846	Trex1	2789	1003	31	2404	1869	592	1324
mDDR_2847	Trex1	2427	1859	51	2229	1787	747	1952
mDDR_2848	Trex1	2902	795	43	949	1214	509	1045
mDDR_2849	Trex1	2970	1743	46	4141	1566	734	1775
mDDR_2850	Trex1	1360	914	24	1345	1022	676	741
mDDR_2851	Trex2	1767	1106	15	1600	1056	564	1205
mDDR_2852	Trex2	1697	1075	37	1625	1248	328	693
mDDR_2853	Trex2	1991	1039	39	1689	1543	674	1648
mDDR_2854	Trex2	2637	1137	44	2725	2155	813	791
mDDR_2855	Trex2	481	209	3	346	493	86	234
mDDR_2856	Trex2	4440	2990	108	4783	3612	1519	2587
mDDR_2857	Trex2	3184	2176	51	3229	2085	955	1462
mDDR_2858	Trex2	2158	1124	42	2004	1432	584	735
mDDR_2859	Trex2	745	240	9	422	556	154	404
mDDR_2860	Trex2	1954	587	22	1704	778	350	589
mDDR_2861	Trim28	2705	1835	31	2066	2346	921	1485
mDDR_2862	Trim28	2395	1260	49	1180	1555	809	1250
mDDR_2863	Trim28	1400	446	17	484	1483	514	902
mDDR_2864	Trim28	3150	1774	43	3818	2922	788	1928
mDDR_2865	Trim28	1185	480	23	643	976	372	599
mDDR_2866	Trim28	129	73	1	42	118	32	204
mDDR_2867	Trim28	1405	398	16	140	962	329	514
mDDR_2868	Trim28	3064	808	40	1107	2836	851	1668
mDDR_2869	Trim28	3046	1342	35	177	2066	638	1403
mDDR_2870	Trim28	1134	284	16	495	835	241	345
mDDR_2871	Trp53	1665	817	51	2237	2147	754	1400
mDDR_2872	Trp53	1507	572	14	1146	809	225	471
mDDR_2873	Trp53	1805	1121	28	1856	1512	509	996
mDDR_2874	Trp53	2053	977	21	1173	484	412	507
mDDR_2875	Trp53	2207	865	30	1108	1188	288	757
mDDR_2876	Trp53	1945	1046	27	2428	1166	422	903
mDDR_2877	Trp53	286	22	3	123	41	19	50
mDDR_2878	Trp53	1227	505	11	709	579	115	451
mDDR_2879	Trp53	2635	1263	22	2626	977	462	766
mDDR_2880	Trp53	3772	1978	52	3970	1833	576	1462
mDDR_2881	Trp53bp1	2023	714	30	1268	1306	537	1028
mDDR_2882	Trp53bp1	2641	1449	44	2165	2186	789	1106
mDDR_2883	Trp53bp1	1542	750	31	2670	1609	644	1276
mDDR_2884	Trp53bp1	3392	1746	68	4241	2757	1135	1049
mDDR_2885	Trp53bp1	1272	620	21	1702	983	428	496
mDDR_2886	Trp53bp1	1771	644	28	1450	1078	320	423
mDDR_2887	Trp53bp1	2225	557	12	1298	1300	125	322
mDDR_2888	Trp53bp1	925	223	14	421	887	246	257
mDDR_2889	Trp53bp1	2201	1254	45	2009	1797	638	1527
mDDR_2890	Trp53bp1	2928	1201	25	2504	2069	741	923
mDDR_2891	Uba2	1335	214	7	193	449	117	329
mDDR_2892	Uba2	606	131	9	299	199	75	219
mDDR_2893	Uba2	2444	429	28	1765	1010	500	550
mDDR_2894	Uba2	1501	618	28	1544	1145	605	897
mDDR_2895	Uba2	2845	73	2	441	710	142	403
mDDR_2896	Uba2	2193	326	11	674	914	233	688
mDDR_2897	Uba2	2138	1005	30	2121	1237	628	1031
mDDR_2898	Uba2	2185	1008	24	1607	1845	483	1206
mDDR_2899	Uba2	1541	616	15	1127	705	322	779
mDDR_2900	Uba2	1991	809	38	1997	1826	499	1232
mDDR_2901	Ube2a	1231	590	36	1850	1392	433	1311
mDDR_2902	Ube2a	1497	723	15	436	673	337	505
mDDR_2903	Ube2a	450	83	6	357	328	103	215
mDDR_2904	Ube2a	971	457	15	818	998	331	547
mDDR_2905	Ube2a	2137	895	11	1183	939	382	471
mDDR_2906	Ube2a	344	186	21	503	212	181	296
mDDR_2907	Ube2a	1803	1528	35	1615	2223	544	1607
mDDR_2908	Ube2a	2571	848	34	1284	1815	876	1508
mDDR_2909	Ube2a	2046	716	32	1751	1292	591	767
mDDR_2910	Ube2a	4702	2906	68	3126	3549	1298	2591
mDDR_2911	Ube2b	1650	1377	29	2255	1707	639	1335
mDDR_2912	Ube2b	1742	890	31	1666	1371	655	1437
mDDR_2913	Ube2b	359	170	10	340	456	161	421
mDDR_2914	Ube2b	1858	527	27	1355	821	268	680
#mDDR_2915	Ube2b	359	170	10	340	456	161	421
mDDR_2916	Ube2b	2162	739	23	1310	907	374	909
mDDR_2917	Ube2b	408	207	6	277	358	184	393
mDDR_2918	Ube2b	2110	1032	23	1739	1190	623	1206
mDDR_2919	Ube2b	1120	457	12	799	710	283	497
mDDR_2920	Ube2b	2074	899	16	835	1168	406	1033
mDDR_2921	Ube2n	1203	456	16	506	698	228	280
mDDR_2922	Ube2n	2080	734	41	913	838	456	640
mDDR_2923	Ube2n	3264	1374	33	1596	1883	635	1182
mDDR_2924	Ube2n	1716	281	10	659	815	460	576
mDDR_2925	Ube2n	881	323	14	581	584	204	516
mDDR_2926	Ube2n	242	125	10	235	147	73	238
mDDR_2927	Ube2v2	2012	1061	35	996	1486	689	486
mDDR_2928	Ube2v2	2026	1012	35	2065	1252	384	903
mDDR_2929	Ube2v2	2973	1335	144	2517	2878	918	1968
mDDR_2930	Ube2v2	1599	487	4	585	646	242	406
mDDR_2931	Ube2v2	2765	939	26	1781	1168	493	980
mDDR_2932	Ube2v2	1227	276	12	398	326	217	325
mDDR_2933	Ube2v2	1331	197	15	499	373	90	302
mDDR_2934	Ube2v2	2033	1238	25	1742	1489	564	832
mDDR_2935	Ube2v2	363	206	5	272	309	130	262
mDDR_2936	Ube2v2	2010	1583	53	2336	1940	718	1700
mDDR_2937	Ubr5	1345	289	11	715	499	201	431
mDDR_2938	Ubr5	1467	480	29	1562	1031	324	1144
mDDR_2939	Ubr5	1489	546	37	1054	966	287	443
mDDR_2940	Ubr5	1725	538	27	1398	1132	447	987
mDDR_2941	Ubr5	1703	1512	21	1888	1181	353	878
mDDR_2942	Ubr5	482	204	6	227	351	167	233
mDDR_2943	Ubr5	1686	524	12	650	1078	231	586
mDDR_2944	Ubr5	1691	198	19	443	872	250	307
mDDR_2945	Ubr5	2365	654	28	1540	1363	539	638
mDDR_2946	Ubr5	1814	810	19	958	928	212	726
mDDR_2947	Ung	1592	739	28	921	1384	379	1142
mDDR_2948	Ung	1458	220	20	1314	849	456	617
mDDR_2949	Ung	1803	800	43	1439	1077	766	1041
mDDR_2950	Ung	2408	893	51	2780	2461	779	2147
mDDR_2951	Ung	1652	1184	35	1957	1510	601	754
mDDR_2952	Ung	1970	1284	28	1712	1721	541	1216
