guide	gene	NT_D3	NT_D21	Olaparib40nM_D21	Olaparib2uM_D21
sg_mMad2l2_02	Mad2l2	1218	242	196	42
sg_mGen1_04	Gen1	1208	1313	979	21
sg_mBrca2_03	Brca2	1400	1559	1197	49
sg_mRad23a_04	Rad23a	1074	2327	1389	14
sg_mUbe2a_02	Ube2a	1232	5048	3300	4363
sg_mMsh4_04	Msh4	1198	1831	1282	215
sg_mXrcc1_04	Xrcc1	1070	786	499	16
sg_mPolq_02	Polq	1130	495	373	9
sg_mMbd4_07	Mbd4	1108	2443	2172	560
sg_mMlh1_06	Mlh1	1088	1331	740	22
sg_mNhej1_06	Nhej1	1013	1491	1062	38
sg_mFancm_02	Fancm	1043	834	281	16
sg_mPcna_07	Pcna	1381	311	253	50
sg_mErcc2_05	Ercc2	1176	299	214	78
sg_mFancd2_02	Fancd2	1210	1518	739	15
sg_mPoll_02	Poll	1222	2282	1735	432
sg_mGtf2h1_03	Gtf2h1	1196	435	392	25
sg_mMplkip_01	Mplkip	1334	1001	912	18
sg_mBrca2_05	Brca2	1147	1206	899	11
sg_mDut_02	Dut	1154	853	598	9
sg_mApex1_01	Apex1	1091	1456	1131	184
sg_mRad51_04	Rad51	1257	637	421	53
sg_mRad54b_05	Rad54b	1432	2819	2138	103
sg_mFancc_04	Fancc	1013	1104	580	4
sg_mPolb_01	Polb	1280	2975	529	20
sg_mGtf2h3_06	Gtf2h3	1171	1265	1088	168
sg_mParp1_01	Parp1	1006	350	218	59
sg_mEndov_05	Endov	1058	2420	1972	4042
sg_mDclre1c_05	Dclre1c	1219	2582	2711	26
sg_mSlx4_02	Slx4	1202	717	441	32
sg_mCopb1_05	Copb1	1113	684	366	208
sg_mHelq_04	Helq	1162	1944	976	11
sg_mPoli_06	Poli	1257	2675	2207	166
sg_Non_Targeting_Mouse_BB_0103	Non_Targeting_Mouse	1028	2568	2115	20
sg_mRad1_06	Rad1	1278	657	516	220
sg_mCopa_03	Copa	1082	180	182	15
sg_mFen1_03	Fen1	963	537	348	5
sg_mHprt_02	Hprt	1103	934	577	47
sg_mNudt1_05	Nudt1	1159	2572	1872	88
sg_mHelq_06	Helq	1020	1883	862	80
sg_mErcc2_02	Ercc2	1280	465	543	19
sg_mAtrip_07	Atrip	1186	795	682	20
sg_mPrpf19_07	Prpf19	1250	897	743	123
sg_mRad51_06	Rad51	1319	444	371	10
sg_mNudt1_01	Nudt1	1214	2658	1853	15
sg_mAlkbh3_03	Alkbh3	1045	1554	1173	3487
sg_mFaap24_02	Faap24	1013	1670	1003	26
sg_mAlkbh2_02	Alkbh2	1412	3034	2756	4120
sg_mParp2_04	Parp2	1276	1916	295	14
sg_mRpa2_01	Rpa2	926	180	145	139
sg_mFancg_06	Fancg	1031	868	324	57
sg_mNeil1_07	Neil1	1199	2231	2243	1424
sg_mMsh3_07	Msh3	1003	1949	1850	10
sg_mRpl11_06	Rpl11	1168	229	178	28
sg_mAlkbh2_05	Alkbh2	1055	2181	1857	1029
sg_mPrpf19_04	Prpf19	1727	353	211	17
sg_Non_Targeting_Mouse_BB_0106	Non_Targeting_Mouse	1036	2796	2096	153
sg_mAptx_06	Aptx	1224	2787	2278	256
sg_mOgg1_05	Ogg1	1120	2179	1927	15
sg_mGtf2h4_05	Gtf2h4	1411	1799	1437	535
sg_mCopa_05	Copa	1164	325	429	16
sg_mErcc3_05	Ercc3	1369	495	574	9
sg_mRrm2b_03	Rrm2b	1221	2311	1769	10
sg_mPlk1_01	Plk1	945	192	201	17
sg_mTrex2_02	Trex2	1152	2416	1903	19
sg_mExo1_05	Exo1	787	675	418	8
sg_mPolg_02	Polg	1157	390	253	37
sg_mClk2_02	Clk2	1162	1663	1230	8
sg_Non_Targeting_Mouse_BB_0107	Non_Targeting_Mouse	1013	2330	1629	3
sg_mRad9a_04	Rad9a	1372	510	403	18
sg_mRnf168_07	Rnf168	1097	2496	1886	104
sg_mNthl1_03	Nthl1	1325	2107	1751	182426
sg_mRad18_01	Rad18	1183	2188	1638	3892
sg_mShprh_01	Shprh	1452	2838	2600	1303
sg_mLig3_05	Lig3	1307	1005	416	6
sg_mMutyh_06	Mutyh	1171	2450	1847	309
sg_mMgmt_06	Mgmt	1329	2736	2325	1007
sg_mXab2_07	Xab2	970	243	162	9
sg_mSprtn_01	Sprtn	1194	1251	898	213
sg_mFancd2_01	Fancd2	1146	1361	646	174
sg_mMsh6_03	Msh6	1345	1896	1629	61
sg_mFancl_05	Fancl	1341	1315	412	147
sg_Non_Targeting_Mouse_BB_0025	Non_Targeting_Mouse	1101	2468	2237	955
sg_mMad2l2_04	Mad2l2	1325	279	171	26
sg_mPolh_06	Polh	1121	2277	1951	59
sg_mUbe2v2_03	Ube2v2	1160	2179	2207	20
sg_mShprh_05	Shprh	1197	2383	2136	1540
sg_mBlm_03	Blm	1303	1622	1349	67
sg_mMutyh_05	Mutyh	1258	2560	1824	172
sg_mAtm_06	Atm	1176	640	913	27
sg_mFancb_05	Fancb	1105	1255	444	85
sg_mApex2_02	Apex2	1087	202	184	15
sg_mClk2_06	Clk2	1030	1261	863	36
sg_mRrm2b_04	Rrm2b	1234	2329	2144	2313
sg_mErcc6_01	Ercc6	1292	2568	2266	166
sg_mDdb1_01	Ddb1	1283	372	318	4
sg_mTopbp1_05	Topbp1	1130	234	177	158
sg_mPalb2_05	Palb2	934	1197	846	670
sg_mEndov_06	Endov	1523	2767	2001	25
sg_mHprt_06	Hprt	1307	1275	751	124
sg_Non_Targeting_Mouse_BB_0127	Non_Targeting_Mouse	1245	2891	2226	87
sg_Non_Targeting_Mouse_BB_0046	Non_Targeting_Mouse	1179	3071	2545	1652
sg_mMpg_06	Mpg	1324	2662	2494	134
sg_mFancb_01	Fancb	1309	1666	1275	37
sg_mPrpf19_02	Prpf19	1085	267	169	2
sg_mFancm_01	Fancm	872	497	285	1
sg_mRdm1_03	Rdm1	1479	1976	1417	45
sg_mBrca2_01	Brca2	1153	1071	637	5
sg_mDclre1b_03	Dclre1b	1267	305	284	24
sg_mFancl_03	Fancl	1210	1596	854	106
sg_mDclre1c_02	Dclre1c	1232	2564	2489	592
sg_mChek1_04	Chek1	1255	640	324	8
sg_mXpa_02	Xpa	1266	2679	2129	1420
sg_mAplf_02	Aplf	1231	2560	2330	808
sg_mRecql5_06	Recql5	1151	1526	876	33
sg_mUbe2n_02	Ube2n	811	428	375	13
sg_mFaap20_04	Faap20	1183	2281	1760	122
sg_mMlh1_07	Mlh1	1167	2113	1638	4
sg_mFanci_02	Fanci	854	1190	538	14
sg_mNeil2_03	Neil2	1393	2782	2319	22
sg_mHprt_05	Hprt	890	733	504	33
sg_Non_Targeting_Mouse_BB_0055	Non_Targeting_Mouse	1257	3220	2600	14
sg_mCopa_07	Copa	1143	293	298	17
sg_mPlk1_04	Plk1	1022	217	131	67
sg_mParp2_02	Parp2	1137	2086	1519	27
sg_mFan1_04	Fan1	1163	2610	2103	17
sg_mRdm1_06	Rdm1	1028	1609	1364	254
sg_mRad50_06	Rad50	1329	217	143	20
sg_mRad9a_01	Rad9a	1280	274	256	27
sg_mDclre1a_03	Dclre1a	1061	2244	1797	9
sg_mAtrip_03	Atrip	1161	961	810	87
sg_mCopb1_04	Copb1	1239	270	186	64
sg_mXab2_05	Xab2	1115	309	252	39
sg_mChek2_02	Chek2	1228	3832	8705	39087
sg_mAptx_03	Aptx	1222	2137	1596	94
sg_mCopb1_01	Copb1	1010	241	132	7
sg_mNeil2_07	Neil2	1152	2667	2075	126
sg_mTdg_02	Tdg	965	1823	1711	28
sg_mAtm_03	Atm	1119	761	948	4474
sg_mRev3l_01	Rev3l	1159	1258	1074	11
sg_mMsh3_05	Msh3	1351	3096	2453	240
sg_Non_Targeting_Mouse_BB_0014	Non_Targeting_Mouse	1353	3188	2585	48
sg_mHltf_07	Hltf	1039	1680	1505	735
sg_mNup93_02	Nup93	1214	499	470	36
sg_mRad51_01	Rad51	972	278	232	15
sg_Non_Targeting_Mouse_BB_0085	Non_Targeting_Mouse	1107	2648	2051	644
sg_mSpo11_06	Spo11	1212	2770	2288	28
sg_mUbe2a_04	Ube2a	931	3899	2937	7029
sg_mPsmc1_04	Psmc1	1211	336	355	21
sg_mUbe2a_07	Ube2a	1196	4899	3513	45
sg_mFancc_06	Fancc	1028	919	439	31
sg_mPolh_05	Polh	1402	2538	1834	183
sg_mUbe2b_05	Ube2b	1069	3101	2399	178
sg_mXpc_02	Xpc	1070	2430	1886	17
sg_Non_Targeting_Mouse_BB_0072	Non_Targeting_Mouse	1173	2734	2281	82
sg_mPole_07	Pole	1189	467	389	4
sg_mRif1_04	Rif1	1341	330	241	684
sg_mGtf2h5_07	Gtf2h5	1142	1780	2522	45
sg_mTrp53bp1_02	Trp53bp1	1250	3852	5947	2586
sg_mSetmar_05	Setmar	1258	3950	3477	28
sg_mPolh_01	Polh	1295	2574	2108	25
sg_mSlx1b_05	Slx1b	957	1669	1157	1184
sg_mAtr_03	Atr	1227	919	705	85
sg_mFen1_01	Fen1	1155	305	162	68
sg_mRad54l_05	Rad54l	1136	1145	610	13
sg_mPolr2a_04	Polr2a	1141	347	294	64
sg_mGtf2h1_05	Gtf2h1	1206	722	901	900
sg_mFan1_07	Fan1	1235	2273	1861	35
sg_mRrm2b_07	Rrm2b	1197	1589	1108	348
sg_mChaf1a_02	Chaf1a	1315	2548	2901	13315
sg_mRecql5_01	Recql5	1611	1649	936	73
sg_mAplf_06	Aplf	1323	2683	1774	724
sg_mTrex1_05	Trex1	1169	2413	1971	99
sg_mSem1_05	Sem1	1311	1167	906	40
sg_mRev3l_06	Rev3l	1215	1308	964	18
sg_mPsmb2_06	Psmb2	1145	269	151	81
sg_mEme2_01	Eme2	1156	2369	2083	327
sg_mFance_07	Fance	1400	1474	696	15
sg_mEme1_03	Eme1	1180	1659	1147	69
sg_mMre11a_07	Mre11a	1162	2320	2224	31
sg_mRrm2b_06	Rrm2b	1301	2401	1796	5333
sg_mRad50_01	Rad50	1179	319	188	6
sg_Non_Targeting_Mouse_BB_0070	Non_Targeting_Mouse	892	2199	1563	10
sg_mCdk7_06	Cdk7	1066	241	257	4
sg_mXab2_03	Xab2	1116	379	334	5
sg_mEme2_03	Eme2	1393	3020	2052	57
sg_mUbe2n_03	Ube2n	1058	890	988	70
sg_mMsh4_02	Msh4	1265	957	786	68
sg_mRev1_01	Rev1	1188	1991	1261	7
sg_mPold1_07	Pold1	1084	1081	912	16
sg_mMsh3_01	Msh3	1315	2785	2392	32
sg_mAtm_02	Atm	1164	983	1161	10827
sg_mSpo11_07	Spo11	1022	1480	1120	65
sg_mMsh4_01	Msh4	1349	2159	1872	76
sg_mMsh2_07	Msh2	940	1678	1304	55
sg_mRad52_04	Rad52	1345	2209	1644	60
sg_mRecql5_04	Recql5	1330	1799	1240	7890
sg_mApex1_02	Apex1	1009	1110	613	2084
sg_mErcc6_04	Ercc6	1110	2248	1426	47
sg_mEndov_04	Endov	1119	2416	1636	43
sg_mTrp53bp1_03	Trp53bp1	834	2335	3056	17
sg_mGtf2h1_01	Gtf2h1	1306	1491	1676	79
sg_mFanca_03	Fanca	1080	1365	719	135
sg_mSlx4_06	Slx4	1131	1169	948	118
sg_mPrkdc_01	Prkdc	1095	1269	987	144
sg_mPrkdc_05	Prkdc	1127	366	437	116
sg_mEndov_02	Endov	1122	2091	1902	193
sg_mPnkp_02	Pnkp	1006	212	212	11
sg_mRecql_02	Recql	1149	2101	1779	37
sg_mXrcc3_05	Xrcc3	1577	453	264	825
sg_mApex2_03	Apex2	1226	246	290	9
sg_mUbe2n_04	Ube2n	1460	429	222	7
sg_mApex1_04	Apex1	1330	1231	776	22
sg_mRad51b_02	Rad51b	1190	2049	707	39
sg_mFance_05	Fance	1199	480	296	15
sg_Non_Targeting_Mouse_BB_0041	Non_Targeting_Mouse	1388	3499	2697	1008
sg_mMutyh_07	Mutyh	1066	2574	2169	188
sg_mAlkbh2_04	Alkbh2	1152	1835	1408	22
sg_mPer1_07	Per1	1281	2625	2115	37
sg_mApex1_07	Apex1	1168	1094	480	51
sg_Non_Targeting_Mouse_BB_0005	Non_Targeting_Mouse	811	1728	1313	4212
sg_mCdk7_03	Cdk7	1135	253	215	19
sg_mRad51c_01	Rad51c	1141	256	198	7
sg_mErcc8_05	Ercc8	1102	2124	1591	173
sg_mFan1_01	Fan1	1096	2222	1943	16
sg_mXab2_01	Xab2	1572	1474	1152	338
sg_mApex1_05	Apex1	1185	1307	426	57
sg_mRbbp8_03	Rbbp8	1057	657	391	38
sg_mRad51b_01	Rad51b	1311	1932	958	806
sg_mFancb_02	Fancb	964	894	261	33
sg_mCdk7_02	Cdk7	999	486	322	25
sg_mTdp2_03	Tdp2	1242	2195	1926	162
sg_mRad51d_01	Rad51d	1107	239	206	5
sg_mRpl5_04	Rpl5	1105	279	232	343
sg_mH2afx_04	H2afx	1212	333	270	4
sg_Non_Targeting_Mouse_BB_0116	Non_Targeting_Mouse	1297	3436	2810	946
sg_mDclre1a_04	Dclre1a	1220	2334	1734	75
sg_mRad23a_01	Rad23a	1230	2441	1478	1463
sg_mRad9a_03	Rad9a	1426	202	223	7
sg_mAlkbh3_02	Alkbh3	1133	2539	2131	72
sg_mRad54l_02	Rad54l	1191	907	467	17
sg_mNeil1_01	Neil1	1068	1769	1758	890
sg_mSmug1_02	Smug1	1308	2527	2038	153
sg_mRpl11_02	Rpl11	1021	235	169	162
sg_mGtf2h3_05	Gtf2h3	1263	1674	1275	15
sg_mTrp53bp1_06	Trp53bp1	1172	3462	4655	19151
sg_mPnkp_04	Pnkp	1262	428	259	29
sg_mFancg_02	Fancg	1338	978	271	81
sg_Non_Targeting_Mouse_BB_0090	Non_Targeting_Mouse	1488	3670	3161	84
sg_mSlx4_04	Slx4	1281	1909	1568	22
sg_Non_Targeting_Mouse_BB_0018	Non_Targeting_Mouse	1128	2527	1851	208
sg_mNudt1_06	Nudt1	1187	2700	2315	22
sg_mPsmb2_03	Psmb2	939	639	616	15
sg_mEme1_04	Eme1	1077	1892	1086	16
sg_mFancd2_05	Fancd2	1167	1458	494	18
sg_mTdp1_05	Tdp1	1211	2055	1473	68
sg_mTopbp1_03	Topbp1	1050	1156	1178	849
sg_mShprh_03	Shprh	1148	2279	1741	62
sg_mRad54l_01	Rad54l	1436	1467	877	68
sg_mParp2_07	Parp2	1297	2011	830	83
sg_Non_Targeting_Mouse_BB_0020	Non_Targeting_Mouse	1104	2924	2507	53
sg_mXpc_01	Xpc	1377	2640	2091	35
sg_mPolr2d_02	Polr2d	1252	732	865	28
sg_mTrex2_07	Trex2	1208	2848	2241	5342
sg_mParp3_05	Parp3	1232	2689	2422	53
sg_mMnat1_02	Mnat1	1173	778	585	39
sg_Non_Targeting_Mouse_BB_0076	Non_Targeting_Mouse	974	2306	2077	395
sg_mNthl1_06	Nthl1	1378	2134	1651	16
sg_mMbd4_01	Mbd4	1371	2244	2082	119
sg_mRpa1_05	Rpa1	1192	2027	1782	1487
sg_mMgmt_01	Mgmt	1357	2826	2271	14
sg_mRecql_01	Recql	1132	1786	1654	130
sg_mRad51c_07	Rad51c	894	1673	1494	3350
sg_mTopbp1_01	Topbp1	1218	700	650	478
sg_mRev3l_05	Rev3l	1152	261	160	69
sg_mPolr2a_01	Polr2a	1070	356	425	10
sg_mLig1_03	Lig1	1105	941	355	103
sg_mDut_03	Dut	1265	287	202	27
sg_mErcc4_03	Ercc4	1325	1245	731	5084
sg_mBrca1_04	Brca1	1349	1034	738	108
sg_Non_Targeting_Mouse_BB_0110	Non_Targeting_Mouse	1334	3255	2764	89
sg_mPrkdc_04	Prkdc	1306	544	379	57
sg_mPole_06	Pole	809	679	511	9
sg_mPalb2_02	Palb2	1249	1263	820	30
sg_Non_Targeting_Mouse_BB_0023	Non_Targeting_Mouse	1017	2317	2311	30
sg_mXab2_04	Xab2	1124	315	200	18
sg_mRnf168_05	Rnf168	1276	531	362	88
sg_mRad17_06	Rad17	1301	305	229	14
sg_mRad54b_02	Rad54b	1163	2543	1716	858
sg_mHus1_06	Hus1	1448	429	422	11
sg_mErcc8_07	Ercc8	1339	2620	1928	11
sg_mLig4_04	Lig4	1169	634	531	23
sg_mRif1_02	Rif1	1059	255	221	64
sg_mDmc1_07	Dmc1	766	1750	1175	6
sg_mXrcc3_04	Xrcc3	1134	622	395	33
sg_mDut_04	Dut	1145	2229	1869	53
sg_mRbbp8_05	Rbbp8	1098	720	473	276
sg_mMsh5_02	Msh5	1348	2805	2226	3692
sg_mUvssa_01	Uvssa	1121	2185	1742	201
sg_mDdb1_04	Ddb1	1202	1167	804	50
sg_mMlh1_05	Mlh1	1268	1677	1096	364
sg_mPolq_01	Polq	1115	411	264	38
sg_mFaap20_02	Faap20	1021	2145	1833	25
sg_mRad9a_02	Rad9a	1297	819	515	28
sg_mGtf2h1_02	Gtf2h1	1089	1139	1252	1551
sg_mSmug1_04	Smug1	1149	2428	1992	47
sg_mFancc_07	Fancc	934	908	253	20
sg_Non_Targeting_Mouse_BB_0066	Non_Targeting_Mouse	1090	2692	2053	114
sg_Non_Targeting_Mouse_BB_0050	Non_Targeting_Mouse	1146	2872	2340	44
sg_mSprtn_02	Sprtn	1117	1007	727	15
sg_mMdc1_05	Mdc1	1304	1625	949	146
sg_mFanci_01	Fanci	1283	1594	766	38
sg_mRnf168_03	Rnf168	1067	239	168	14
sg_mRpa1_04	Rpa1	1152	239	220	68
sg_mMad2l2_05	Mad2l2	1288	540	397	5
sg_mWrn_03	Wrn	1301	2544	1760	11
sg_mLig4_02	Lig4	834	380	233	11
sg_mEme1_06	Eme1	1142	1582	973	10
sg_Non_Targeting_Mouse_BB_0054	Non_Targeting_Mouse	1221	2998	2563	427
sg_mXrcc5_03	Xrcc5	1013	2224	1806	232
sg_mPoli_02	Poli	1150	2397	1734	22
sg_mDut_05	Dut	1368	268	275	6
sg_mSem1_06	Sem1	1246	481	240	59
sg_mNbn_06	Nbn	1148	910	970	19
sg_mRad23a_05	Rad23a	916	1928	1246	48
sg_mApex1_06	Apex1	1319	1232	547	63
sg_mTrex1_07	Trex1	1197	2034	1531	14
sg_mPsmc1_01	Psmc1	844	240	134	53
sg_mAplf_03	Aplf	1353	2464	1704	39
sg_mRad51d_06	Rad51d	1236	513	249	43
sg_mMsh6_06	Msh6	1259	2811	2142	126
sg_mMnat1_03	Mnat1	1109	2516	2007	42
sg_mFan1_05	Fan1	941	1983	1422	4
sg_mRad54b_03	Rad54b	1041	2201	1410	20
sg_mMsh2_03	Msh2	1454	2251	1984	104
sg_mDdb2_07	Ddb2	1286	2180	1610	50
sg_mErcc6_03	Ercc6	1169	1959	1438	92
sg_mFancf_05	Fancf	1505	2041	989	1562
sg_mSetmar_04	Setmar	1150	3929	3469	838
sg_mPlk1_05	Plk1	769	232	117	6
sg_mPolg_04	Polg	1068	364	321	272
sg_Non_Targeting_Mouse_BB_0074	Non_Targeting_Mouse	1134	2870	2504	168
sg_mAtrip_05	Atrip	1360	903	861	50
sg_mBrca2_07	Brca2	1362	1021	674	54
sg_mNeil2_05	Neil2	1168	2813	2121	42
sg_mRad51c_04	Rad51c	1324	2085	1496	169
sg_mErcc6_05	Ercc6	1219	2092	1746	10
sg_mSpo11_04	Spo11	1279	2957	2256	69
sg_mRnf4_01	Rnf4	1286	252	170	19
sg_mMre11a_01	Mre11a	1202	302	338	19
sg_mFen1_05	Fen1	1266	950	387	29
sg_mMdc1_01	Mdc1	1055	779	478	13
sg_mXab2_06	Xab2	903	355	228	53
sg_mAtr_06	Atr	1192	767	760	17
sg_mH2afx_06	H2afx	1215	869	743	25
sg_mMdc1_06	Mdc1	1163	1495	704	142
sg_mNbn_04	Nbn	1274	1549	1366	14
sg_mRpl5_06	Rpl5	1194	250	135	3
sg_mXpa_04	Xpa	1364	2913	2048	92
sg_mFanci_06	Fanci	1153	1383	749	7
sg_mFancm_07	Fancm	1132	521	419	14
sg_mXpc_07	Xpc	1232	2471	1946	37
sg_mFanci_05	Fanci	1062	1440	614	14
sg_Non_Targeting_Mouse_BB_0097	Non_Targeting_Mouse	1034	2636	2252	23
sg_mDclre1c_03	Dclre1c	1095	2288	2494	31
sg_mEme2_06	Eme2	1332	2786	2399	260
sg_mFancf_07	Fancf	1204	1638	900	12
sg_Non_Targeting_Mouse_BB_0121	Non_Targeting_Mouse	1088	2828	2207	28
sg_mParp2_03	Parp2	1245	1648	452	30
sg_mMlh3_06	Mlh3	1174	2131	1648	11909
sg_mNeil3_03	Neil3	1296	2158	1673	81
sg_mGtf2h1_04	Gtf2h1	1167	615	697	1
sg_Non_Targeting_Mouse_BB_0064	Non_Targeting_Mouse	1258	3344	3117	4428
sg_mGtf2h5_05	Gtf2h5	1125	1991	2913	6041
sg_Non_Targeting_Mouse_BB_0101	Non_Targeting_Mouse	1241	3352	2470	66
sg_mPrkdc_03	Prkdc	1177	790	685	19
sg_mPms2_03	Pms2	1287	1526	894	117
sg_mXrcc6_04	Xrcc6	1098	391	276	20
sg_mXrcc4_04	Xrcc4	1337	1682	1483	26
sg_mErcc1_01	Ercc1	1262	2035	1299	6
sg_mLig3_01	Lig3	1106	1717	1092	338
sg_mPcna_03	Pcna	1245	385	327	21
sg_mSpo11_05	Spo11	1085	2335	2325	704
sg_Non_Targeting_Mouse_BB_0073	Non_Targeting_Mouse	1271	3213	2895	235
sg_mHprt_03	Hprt	1198	1194	810	26
sg_mRad51d_05	Rad51d	1132	280	169	373
sg_mPoli_01	Poli	1153	2564	2113	749
sg_mMgmt_05	Mgmt	896	1610	1226	14
sg_mPrpf19_03	Prpf19	286	100	51	10
sg_mXrcc6_01	Xrcc6	1182	1360	970	89
sg_mUng_05	Ung	997	2338	1205	26
sg_mBlm_01	Blm	984	1149	910	49
sg_mFan1_02	Fan1	1114	2531	1974	16
sg_mPolb_03	Polb	1102	2549	1092	20
sg_mNhej1_01	Nhej1	999	1192	741	585
sg_mNabp2_04	Nabp2	1409	3057	2377	1076
sg_mDut_01	Dut	1258	792	537	26
sg_Non_Targeting_Mouse_BB_0022	Non_Targeting_Mouse	857	1984	1566	11
sg_mHus1_04	Hus1	1153	332	290	91
sg_Non_Targeting_Mouse_BB_0077	Non_Targeting_Mouse	1383	3324	2906	5722
sg_mMad2l2_07	Mad2l2	1124	394	240	19
sg_Non_Targeting_Mouse_BB_0126	Non_Targeting_Mouse	1114	2778	2107	34
sg_mRad51c_05	Rad51c	1033	1826	1687	16
sg_mAlkbh3_05	Alkbh3	1283	2780	2143	125
sg_Non_Targeting_Mouse_BB_0071	Non_Targeting_Mouse	1101	2559	2046	3334
sg_mUbe2b_01	Ube2b	1003	1586	1357	56
sg_mDdb1_02	Ddb1	1140	398	373	61
sg_mExo1_02	Exo1	1123	651	365	114
sg_mEme2_05	Eme2	1194	2396	1992	206
sg_mNeil1_03	Neil1	1122	1930	1752	141
sg_Non_Targeting_Mouse_BB_0122	Non_Targeting_Mouse	1213	2323	1908	5715
sg_mHus1_02	Hus1	1320	678	475	8
sg_mNbn_01	Nbn	1207	1022	1105	24
sg_mMutyh_02	Mutyh	818	1368	1160	1
sg_mHus1_03	Hus1	946	268	199	2
sg_mAplf_04	Aplf	1326	2510	1789	38
sg_mUbe2v2_05	Ube2v2	937	886	769	29
sg_mXrcc1_06	Xrcc1	1140	552	134	14
sg_mPms1_07	Pms1	1239	2716	2092	18
sg_mParp3_02	Parp3	1113	2267	1912	15
sg_mClk2_07	Clk2	1140	1166	662	4783
sg_mPoln_03	Poln	1066	2409	1910	158
sg_mRpa1_01	Rpa1	1224	599	416	27
sg_mAtrip_04	Atrip	1127	908	681	181
sg_mFaap20_06	Faap20	1135	2317	1688	6
sg_mBrip1_06	Brip1	1179	2056	2086	284
sg_mRpl11_03	Rpl11	1142	172	221	49
sg_mChek2_04	Chek2	1152	3766	9280	56176
sg_mRpl11_05	Rpl11	1181	218	225	29
sg_mH2afx_02	H2afx	1470	1258	1157	7481
sg_mMgmt_04	Mgmt	1420	3224	2621	4914
sg_mMpg_03	Mpg	1460	3053	2447	255
sg_mRecql4_05	Recql4	1300	1193	842	8
sg_mMus81_04	Mus81	1254	679	229	4
sg_mXrcc2_06	Xrcc2	1274	871	596	16
sg_mNudt1_04	Nudt1	1092	2471	1736	132
sg_Non_Targeting_Mouse_BB_0092	Non_Targeting_Mouse	1190	3036	2705	10000
sg_mMsh4_06	Msh4	998	1953	1552	295
sg_mNthl1_07	Nthl1	1205	2307	1928	174
sg_mXrcc6_02	Xrcc6	1216	545	354	51
sg_mNabp2_05	Nabp2	944	1935	1628	4963
sg_mTopbp1_04	Topbp1	1065	256	181	22
sg_mRev1_04	Rev1	1113	1773	1297	16
sg_mMplkip_03	Mplkip	1062	613	422	27
sg_mTdg_03	Tdg	1220	2580	1938	32
sg_mFaap20_07	Faap20	1425	2817	2457	48
sg_mApex2_01	Apex2	1433	331	204	70
sg_mRad23a_07	Rad23a	1135	1887	1424	208
sg_mRbbp8_02	Rbbp8	1038	848	398	2
sg_mEndov_03	Endov	1289	2698	1875	433
sg_mNup93_01	Nup93	1280	528	286	4
sg_Non_Targeting_Mouse_BB_0029	Non_Targeting_Mouse	1248	3005	2426	8
sg_mSem1_04	Sem1	1254	538	457	7
sg_mExo1_01	Exo1	961	810	474	2
sg_mParp2_05	Parp2	1156	1738	555	34
sg_mErcc8_01	Ercc8	1093	2050	1703	1125
sg_mPlk1_02	Plk1	1028	173	239	35
sg_mRev3l_04	Rev3l	1275	403	209	24
sg_mRad17_01	Rad17	1190	334	174	27
sg_mApex1_03	Apex1	1069	874	358	9
sg_mEme1_02	Eme1	1050	1920	1337	8
sg_mAtm_01	Atm	1350	2006	2196	1267
sg_Non_Targeting_Mouse_BB_0099	Non_Targeting_Mouse	1152	2654	2078	14
sg_mGtf2h4_03	Gtf2h4	1268	1085	1232	171
sg_mOgg1_07	Ogg1	1099	2177	1813	42
sg_mFancg_07	Fancg	1085	1438	548	40
sg_mHltf_02	Hltf	975	1983	1661	818
sg_mTrex2_06	Trex2	1237	2967	2772	706
sg_mMlh1_01	Mlh1	1226	1474	1121	39
sg_mRpa2_06	Rpa2	906	622	460	52
sg_mNhej1_03	Nhej1	1356	865	532	41
sg_mPms1_06	Pms1	1201	2408	2173	256
sg_mPolq_06	Polq	1372	1339	952	373
sg_mNthl1_05	Nthl1	1278	3244	2321	28
sg_mRev3l_02	Rev3l	1295	255	247	8
sg_mNhej1_05	Nhej1	1285	1771	1022	8730
sg_mSpo11_03	Spo11	1317	2755	2348	8
sg_Non_Targeting_Mouse_BB_0083	Non_Targeting_Mouse	1165	3166	2247	799
sg_mRev1_06	Rev1	1197	1890	1469	53
sg_mFaap24_03	Faap24	1148	1832	1109	24
sg_Non_Targeting_Mouse_BB_0024	Non_Targeting_Mouse	1370	3300	2460	1676
sg_mRad54b_01	Rad54b	793	1672	1205	21
sg_mRad51d_07	Rad51d	1074	285	118	28
sg_mErcc5_07	Ercc5	1254	2235	1660	9
sg_mRad51_02	Rad51	928	268	154	40
sg_mFanca_02	Fanca	1305	1738	1169	15
sg_Non_Targeting_Mouse_BB_0068	Non_Targeting_Mouse	1319	2896	2361	73
sg_Non_Targeting_Mouse_BB_0034	Non_Targeting_Mouse	1103	2424	1843	131
sg_mLig4_07	Lig4	1071	671	328	11
sg_Non_Targeting_Mouse_BB_0065	Non_Targeting_Mouse	1293	3152	2692	11933
sg_mFancm_04	Fancm	1212	1414	1084	134
sg_mMlh1_03	Mlh1	1105	1383	833	34
sg_mFancb_03	Fancb	1076	1106	280	422
sg_mMus81_07	Mus81	1074	1293	891	42
sg_mErcc4_05	Ercc4	1214	1407	894	178
sg_mAplf_01	Aplf	1373	2727	1871	1244
sg_mTdp2_07	Tdp2	1212	1532	1251	74
