guide	gene	NT_D3	NT_D21	Olaparib40nM_D21	Olaparib2uM_D21
sg_mPalb2_03	Palb2	1144	942	581	165
sg_mBlm_06	Blm	1168	1355	1082	345
sg_mMsh5_07	Msh5	1299	2350	2070	149
sg_mDclre1b_07	Dclre1b	1228	301	281	55
sg_mGen1_01	Gen1	1326	1114	745	99
sg_mLig3_06	Lig3	1083	868	376	36
sg_mPsmb2_07	Psmb2	1251	213	159	104
sg_mRpa3_05	Rpa3	1023	133	198	65
sg_mRbbp8_01	Rbbp8	1312	911	471	36
sg_mMsh2_04	Msh2	1315	1937	1483	17
sg_mTdg_07	Tdg	1182	2769	1787	25
sg_mCetn2_06	Cetn2	1158	2806	2148	65
sg_mCdk7_04	Cdk7	1064	346	278	68
sg_mMad2l2_06	Mad2l2	1151	321	256	12
sg_mNhej1_07	Nhej1	1547	1715	1285	13
sg_mNeil3_01	Neil3	1379	2964	2646	33
sg_mUbe2b_03	Ube2b	1032	2691	2382	38
sg_mRad50_04	Rad50	1408	798	538	62
sg_Non_Targeting_Mouse_BB_0039	Non_Targeting_Mouse	1219	3146	2742	59
sg_mChek2_06	Chek2	983	2656	4356	31376
sg_mAtr_02	Atr	1019	379	338	8
sg_mTrp53bp1_01	Trp53bp1	1120	3238	4286	26
sg_mGtf2h3_04	Gtf2h3	1258	438	393	2
sg_mSem1_03	Sem1	286	143	101	196
sg_mRad17_04	Rad17	1199	269	160	17
sg_mPlk1_07	Plk1	1135	278	214	8
sg_mBrip1_02	Brip1	1302	2425	2282	122
sg_Non_Targeting_Mouse_BB_0132	Non_Targeting_Mouse	1149	2538	2135	1575
sg_mPole_01	Pole	1097	610	510	6
sg_mCcnh_07	Ccnh	1239	2428	1915	109752
sg_mMgmt_02	Mgmt	1196	2992	2043	56
sg_mAlkbh2_01	Alkbh2	1316	2239	1814	839
sg_mDclre1b_06	Dclre1b	1053	501	499	10
sg_mPms2_05	Pms2	1384	1410	725	30
sg_mUng_01	Ung	1430	2906	1711	15
sg_mXrcc2_03	Xrcc2	1121	416	278	0
sg_mSlx4_03	Slx4	1169	908	893	17
sg_mCopb1_02	Copb1	1002	543	344	22
sg_Non_Targeting_Mouse_BB_0102	Non_Targeting_Mouse	1172	3560	2353	15
sg_mRad1_03	Rad1	1134	908	672	6
sg_mFance_04	Fance	1135	1208	519	37
sg_mExo1_07	Exo1	1106	643	390	64
sg_mRdm1_05	Rdm1	1288	2239	1603	16643
sg_mNeil3_04	Neil3	1260	2130	1899	648
sg_mRad52_05	Rad52	1213	1847	1431	161
sg_mTdg_05	Tdg	1514	2866	2647	12
sg_mExo1_03	Exo1	1098	741	390	12
sg_mRad1_07	Rad1	1210	294	281	29
sg_Non_Targeting_Mouse_BB_0053	Non_Targeting_Mouse	1463	3535	2529	7
sg_mMnat1_04	Mnat1	1200	1050	678	49
sg_mMutyh_04	Mutyh	1117	2481	2062	449
sg_mPolh_02	Polh	1223	2262	1774	117
sg_mFancc_02	Fancc	1258	1123	693	771
sg_mPolm_04	Polm	1030	2169	1898	6799
sg_mAtm_05	Atm	1352	1534	2528	690
sg_mBlm_04	Blm	1311	1433	1088	392
sg_mCopa_06	Copa	1026	1022	747	52
sg_mPolk_02	Polk	1005	1779	1354	27
sg_Non_Targeting_Mouse_BB_0118	Non_Targeting_Mouse	1261	3093	2479	92
sg_mFancd2_07	Fancd2	1308	1542	782	19
sg_mNeil3_05	Neil3	1043	2103	1718	24
sg_mFancl_07	Fancl	1222	1392	753	122
sg_mBrca2_06	Brca2	1075	1162	743	113
sg_mXrcc2_07	Xrcc2	1292	410	225	3
sg_mRad51_05	Rad51	1153	304	239	117
sg_mPolm_05	Polm	860	1533	1253	59
sg_mFancb_07	Fancb	1330	1214	384	30
sg_mSetmar_01	Setmar	898	3180	2840	8
sg_mRnf8_05	Rnf8	883	594	452	23
sg_mGtf2h4_04	Gtf2h4	1061	364	295	17
sg_mFaap24_06	Faap24	1280	2487	1696	315
sg_mDclre1c_07	Dclre1c	748	1643	1642	2
sg_mCopb1_07	Copb1	1143	472	343	82
sg_mPold1_02	Pold1	1141	675	616	1273
sg_mAptx_04	Aptx	1122	2032	1523	12
sg_mPcna_05	Pcna	926	232	193	16
sg_mErcc8_02	Ercc8	1295	2093	1491	3502
sg_Non_Targeting_Mouse_BB_0089	Non_Targeting_Mouse	1220	3119	2437	265
sg_mPnkp_03	Pnkp	1076	422	308	1
sg_mApex2_06	Apex2	1302	292	236	6
sg_mPolb_04	Polb	1299	2872	589	101
sg_mAlkbh2_06	Alkbh2	1335	2728	2365	22
sg_mChaf1a_04	Chaf1a	1212	2104	2050	303
sg_mGtf2h2_06	Gtf2h2	866	269	163	8
sg_mPrpf19_05	Prpf19	1229	2801	2423	50
sg_Non_Targeting_Mouse_BB_0120	Non_Targeting_Mouse	1239	3087	2832	18
sg_Non_Targeting_Mouse_BB_0139	Non_Targeting_Mouse	1485	3698	3148	33
sg_mMms19_07	Mms19	1211	274	262	24
sg_mMplkip_07	Mplkip	1134	979	738	4
sg_mPnkp_07	Pnkp	1146	408	305	19
sg_mPoll_07	Poll	919	1351	1253	63
sg_mXrcc6_05	Xrcc6	1025	836	749	115
sg_mGtf2h2_05	Gtf2h2	1059	183	179	35
sg_mRpa1_07	Rpa1	991	216	165	20
sg_mXrcc2_01	Xrcc2	1217	431	235	19
sg_mRpl5_02	Rpl5	1173	239	164	908
sg_mErcc3_06	Ercc3	1054	1008	903	23
sg_mDclre1b_02	Dclre1b	1251	310	225	30
sg_mBrca2_04	Brca2	953	959	722	9
sg_mPcna_06	Pcna	1243	393	263	24
sg_mAlkbh2_07	Alkbh2	1366	2292	1874	59
sg_mDdb1_05	Ddb1	1252	552	537	19
sg_mPolr2d_06	Polr2d	1096	376	230	10
sg_mBrca1_01	Brca1	1177	1777	1259	43
sg_mParp2_06	Parp2	1518	2133	679	63
sg_mErcc5_06	Ercc5	890	1478	1168	38
sg_Non_Targeting_Mouse_BB_0013	Non_Targeting_Mouse	1590	3618	2682	190
sg_mRecql4_04	Recql4	1076	1038	922	11608
sg_mMus81_01	Mus81	1268	933	282	5
sg_mMsh3_04	Msh3	955	1958	1669	1487
sg_mEndov_07	Endov	1620	2893	2338	401
sg_Non_Targeting_Mouse_BB_0141	Non_Targeting_Mouse	1089	2637	2112	16
sg_mLig1_02	Lig1	1134	1094	397	5
sg_mErcc3_04	Ercc3	1318	1619	1608	431
sg_mPms1_03	Pms1	991	2393	1751	32
sg_Non_Targeting_Mouse_BB_0105	Non_Targeting_Mouse	968	2350	2181	2772
sg_mFancm_06	Fancm	1341	802	426	215
sg_mRad50_07	Rad50	1458	1026	958	53
sg_mPoll_05	Poll	1195	1964	1558	199
sg_mNabp2_01	Nabp2	1267	2762	2416	515
sg_mSlx1b_07	Slx1b	1241	2785	1991	113
sg_mSlx4_07	Slx4	1157	866	544	62
sg_mSprtn_07	Sprtn	1309	1053	848	11
sg_Non_Targeting_Mouse_BB_0109	Non_Targeting_Mouse	1336	3046	2519	35
sg_mPolb_05	Polb	869	2099	354	8
sg_Non_Targeting_Mouse_BB_0123	Non_Targeting_Mouse	1219	3154	2708	2606
sg_mErcc2_01	Ercc2	1305	1074	1023	34
sg_mNeil1_05	Neil1	1046	2020	2308	17
sg_mDdb2_03	Ddb2	1096	2346	2045	67
sg_mRpa3_07	Rpa3	1131	294	223	8
sg_mRdm1_04	Rdm1	995	1421	934	49
sg_Non_Targeting_Mouse_BB_0045	Non_Targeting_Mouse	1269	2952	2111	2467
sg_mUbe2v2_02	Ube2v2	1185	2363	2453	317
sg_Non_Targeting_Mouse_BB_0035	Non_Targeting_Mouse	1069	2451	2091	59
sg_mSpo11_02	Spo11	1113	2037	1689	7
sg_mSlx1b_01	Slx1b	1184	2136	1501	87701
sg_mEme1_05	Eme1	1164	1079	617	2
sg_mXrcc3_07	Xrcc3	1172	260	285	6
sg_mCdk7_07	Cdk7	1008	373	330	13
sg_mPolr2a_03	Polr2a	1106	302	259	3
sg_mMsh6_05	Msh6	1175	2699	1983	807
sg_mMnat1_06	Mnat1	1354	2540	2394	667
sg_Non_Targeting_Mouse_BB_0080	Non_Targeting_Mouse	1180	3441	2733	9027
sg_Non_Targeting_Mouse_BB_0140	Non_Targeting_Mouse	1437	3389	2994	143
sg_Non_Targeting_Mouse_BB_0111	Non_Targeting_Mouse	1263	3446	2739	310
sg_Non_Targeting_Mouse_BB_0058	Non_Targeting_Mouse	1031	3029	2181	3710
sg_mRad54l_06	Rad54l	1085	1182	635	65
sg_mMsh6_02	Msh6	1203	2599	2163	13
sg_Non_Targeting_Mouse_BB_0001	Non_Targeting_Mouse	980	2479	1917	180
sg_mNup93_05	Nup93	1183	594	506	248
sg_mErcc8_06	Ercc8	808	1567	1432	102
sg_mGtf2h5_04	Gtf2h5	1244	2218	3018	866
sg_mErcc2_03	Ercc2	1140	588	812	430
sg_mErcc8_03	Ercc8	1148	1837	1644	60
sg_mLig4_05	Lig4	922	1000	809	35
sg_mRad23b_03	Rad23b	1277	845	421	38
sg_Non_Targeting_Mouse_BB_0056	Non_Targeting_Mouse	1079	2471	2141	24
sg_mRad9a_05	Rad9a	1166	303	213	1
sg_mFance_01	Fance	1116	1699	889	95
sg_mFancf_04	Fancf	1415	1558	693	11
sg_mRecql5_02	Recql5	1156	1701	955	70
sg_Non_Targeting_Mouse_BB_0128	Non_Targeting_Mouse	1376	3807	2904	69
sg_mRif1_07	Rif1	1244	436	458	9
sg_mApex2_07	Apex2	1082	528	419	24
sg_mPolm_07	Polm	1265	2424	1653	1874
sg_mPolk_04	Polk	1251	2585	1854	22
sg_Non_Targeting_Mouse_BB_0008	Non_Targeting_Mouse	1152	2777	2442	131
sg_mFanca_01	Fanca	1157	1195	742	21
sg_mNbn_07	Nbn	1216	1008	949	20
sg_mPalb2_01	Palb2	1193	1231	928	59
sg_mPnkp_05	Pnkp	1108	303	295	17
sg_mHltf_03	Hltf	1097	2288	1667	6917
sg_Non_Targeting_Mouse_BB_0010	Non_Targeting_Mouse	1123	2602	2419	1892
sg_mRpa1_02	Rpa1	1163	577	479	16
sg_mAplf_05	Aplf	1154	2551	1538	88
sg_mUvssa_06	Uvssa	1379	2556	2078	26
sg_mBrip1_01	Brip1	1186	2343	1920	36
sg_mNthl1_02	Nthl1	1301	2035	1638	32
sg_mMsh4_07	Msh4	1164	2023	1723	438
sg_mXpa_07	Xpa	1355	2450	2307	5182
sg_mPold1_04	Pold1	1119	599	550	46
sg_mMdc1_02	Mdc1	1283	901	447	42
sg_mSlx1b_04	Slx1b	958	695	756	48
sg_Non_Targeting_Mouse_BB_0042	Non_Targeting_Mouse	1118	2591	2206	19
sg_Non_Targeting_Mouse_BB_0147	Non_Targeting_Mouse	1202	2859	2221	107
sg_mSmug1_01	Smug1	834	1773	1308	18
sg_mErcc6_07	Ercc6	1164	2109	1805	18
sg_mTrp53bp1_07	Trp53bp1	1493	3990	5128	3095
sg_mErcc1_05	Ercc1	1213	1280	756	90
sg_mMsh3_02	Msh3	1305	2333	2125	128
sg_mPrpf19_01	Prpf19	1431	392	325	17
sg_mRnf4_04	Rnf4	1103	352	266	2
sg_mLig1_04	Lig1	1070	712	283	20
sg_mChaf1a_07	Chaf1a	1167	2152	2127	27
sg_mGtf2h4_06	Gtf2h4	1245	328	263	3
sg_mSmug1_07	Smug1	1095	2413	1904	222
sg_mFancb_06	Fancb	1011	1094	291	128
sg_mMsh3_06	Msh3	956	1929	1334	3457
sg_mAlkbh3_07	Alkbh3	743	1632	1065	47
sg_mGtf2h3_02	Gtf2h3	1189	1038	1221	217
sg_mPolh_04	Polh	1206	2491	1851	16
sg_mUng_07	Ung	1019	2375	1782	710
sg_mRnf8_02	Rnf8	1213	892	669	248
sg_mRad17_03	Rad17	1281	1093	829	112
sg_Non_Targeting_Mouse_BB_0124	Non_Targeting_Mouse	1264	2953	2405	22
sg_mPolg_06	Polg	1389	1275	1045	28
sg_mUbe2n_07	Ube2n	1092	428	373	67
sg_mMad2l2_03	Mad2l2	1072	567	504	1
sg_mMsh6_07	Msh6	1077	2033	1486	34
sg_mPolr2a_05	Polr2a	914	241	205	3770
sg_mMplkip_04	Mplkip	1427	1510	1052	113
sg_mPole_04	Pole	1058	778	961	24
sg_mRad23b_04	Rad23b	1053	845	362	8
sg_mPms1_02	Pms1	1250	2386	1799	297
sg_Non_Targeting_Mouse_BB_0021	Non_Targeting_Mouse	1503	3640	3220	18843
sg_mH2afx_01	H2afx	1113	954	1002	40
sg_Non_Targeting_Mouse_BB_0153	Non_Targeting_Mouse	1171	3520	2933	31
sg_mFaap24_04	Faap24	1171	1135	804	26
sg_mPolh_03	Polh	1183	2506	2009	25
sg_Non_Targeting_Mouse_BB_0148	Non_Targeting_Mouse	1454	3287	2584	17
sg_mFancd2_06	Fancd2	1115	1641	892	9
sg_mEme2_02	Eme2	1221	2510	1913	82
sg_mXrcc3_01	Xrcc3	1266	562	428	70
sg_mRad51c_02	Rad51c	1175	160	163	49
sg_mPms1_01	Pms1	647	1301	892	5
sg_mParp3_03	Parp3	386	549	524	41
sg_mRad9a_06	Rad9a	1141	611	426	39
sg_mPolr2d_05	Polr2d	1249	371	289	12
sg_mOgg1_04	Ogg1	1258	2572	2194	357
sg_Non_Targeting_Mouse_BB_0038	Non_Targeting_Mouse	1263	3079	2423	56
sg_mNeil1_06	Neil1	1244	2123	2197	3229
sg_mNhej1_04	Nhej1	1140	1465	1009	212
sg_mErcc3_02	Ercc3	1241	607	587	45
sg_mRpa3_03	Rpa3	1273	206	187	29
sg_mFancc_03	Fancc	1216	1017	321	997
sg_mMplkip_05	Mplkip	1124	238	221	24
sg_Non_Targeting_Mouse_BB_0117	Non_Targeting_Mouse	1388	3665	2726	271
sg_mRbbp8_07	Rbbp8	1123	753	335	34
sg_mRad54b_06	Rad54b	1302	2637	1887	537
sg_mRad51c_06	Rad51c	1401	462	309	45
sg_mAtrip_01	Atrip	1373	1751	1332	72
sg_mRecql_05	Recql	1251	2386	1705	12
sg_mPold1_01	Pold1	1060	228	277	8
sg_mMre11a_04	Mre11a	974	308	263	24
sg_mRad51b_04	Rad51b	930	1276	714	436
sg_Non_Targeting_Mouse_BB_0033	Non_Targeting_Mouse	1221	3353	2902	63
sg_mRpl11_07	Rpl11	1113	199	125	295
sg_mRev3l_07	Rev3l	1081	412	428	33
sg_Non_Targeting_Mouse_BB_0044	Non_Targeting_Mouse	1275	3101	2708	5628
sg_mUbe2v2_07	Ube2v2	1157	1678	1459	20215
sg_Non_Targeting_Mouse_BB_0138	Non_Targeting_Mouse	2200	5154	3875	126
sg_mH2afx_05	H2afx	1230	232	272	57
sg_mMplkip_02	Mplkip	1132	774	710	233
sg_mFancf_02	Fancf	1059	1456	888	19
sg_Non_Targeting_Mouse_BB_0115	Non_Targeting_Mouse	1240	3122	2433	30
sg_Non_Targeting_Mouse_BB_0032	Non_Targeting_Mouse	1493	3381	2460	20
sg_mPolq_04	Polq	1338	648	380	251
sg_mErcc1_04	Ercc1	1141	854	533	11
sg_mFance_03	Fance	1139	1282	607	623
sg_Non_Targeting_Mouse_BB_0004	Non_Targeting_Mouse	1250	3180	2498	109
sg_mAtm_04	Atm	1270	1166	1317	33
sg_Non_Targeting_Mouse_BB_0143	Non_Targeting_Mouse	786	2131	1603	997
sg_mRpa2_05	Rpa2	1104	434	381	17
sg_mXpc_05	Xpc	910	1877	1480	8
sg_mGtf2h5_06	Gtf2h5	1073	1705	1670	28
sg_mMdc1_07	Mdc1	1183	1196	793	83
sg_mTdp2_05	Tdp2	1086	2292	1860	10
sg_mRecql4_02	Recql4	1137	555	510	59
sg_mLig3_02	Lig3	1200	848	648	44
sg_mCcnh_04	Ccnh	953	772	657	154
sg_Non_Targeting_Mouse_BB_0082	Non_Targeting_Mouse	1165	2820	2370	28
sg_mPolh_07	Polh	1295	2544	1832	1856
sg_mErcc1_07	Ercc1	1042	1935	1603	35
sg_Non_Targeting_Mouse_BB_0017	Non_Targeting_Mouse	1359	3575	2747	315
sg_mFance_06	Fance	1319	1117	425	28
sg_mFancg_04	Fancg	1366	834	189	39
sg_mAtr_01	Atr	1100	744	741	1546
sg_mFanca_07	Fanca	1087	1444	866	269
sg_mMad2l2_01	Mad2l2	1198	328	384	16
sg_mDmc1_05	Dmc1	1226	2793	2239	28
sg_mRecql4_03	Recql4	1249	1104	649	19
sg_mBrip1_03	Brip1	1048	1585	1331	12
sg_mGtf2h4_07	Gtf2h4	1381	590	512	38
